org_files,yyyy,mm,dd,title,old_url,new_url,new_relative_url
2009-05-10-animation-interactive-plots-in-r-for-inclusion-in-html-websites-or-latex-documents-beamer.org,2009,05,10,animation-interactive-plots-in-r-for-inclusion-in-html-websites-or-latex-documents-beamer,http://blog.nguyenvq.com/blog/2009/05/10/animation-interactive-plots-in-r-for-inclusion-in-html-websites-or-latex-documents-beamer,https://www.nguyenvq.com/blog/posts/2009-05-10-animation-interactive-plots-in-r-for-inclusion-in-html-websites-or-latex-documents-beamer/,../2009-05-10-animation-interactive-plots-in-r-for-inclusion-in-html-websites-or-latex-documents-beamer/
2009-05-10-inclusion-of-movies-animations-interactive-plots-in-latex-docs-beamer-slides.org,2009,05,10,inclusion-of-movies-animations-interactive-plots-in-latex-docs-beamer-slides,http://blog.nguyenvq.com/blog/2009/05/10/inclusion-of-movies-animations-interactive-plots-in-latex-docs-beamer-slides,https://www.nguyenvq.com/blog/posts/2009-05-10-inclusion-of-movies-animations-interactive-plots-in-latex-docs-beamer-slides/,../2009-05-10-inclusion-of-movies-animations-interactive-plots-in-latex-docs-beamer-slides/
2009-05-11-computer-modern-latex-font-in-r-plots.org,2009,05,11,computer-modern-latex-font-in-r-plots,http://blog.nguyenvq.com/blog/2009/05/11/computer-modern-latex-font-in-r-plots,https://www.nguyenvq.com/blog/posts/2009-05-11-computer-modern-latex-font-in-r-plots/,../2009-05-11-computer-modern-latex-font-in-r-plots/
2009-05-12-colored-contour-plot-heat-map.org,2009,05,12,colored-contour-plot-heat-map,http://blog.nguyenvq.com/blog/2009/05/12/colored-contour-plot-heat-map,https://www.nguyenvq.com/blog/posts/2009-05-12-colored-contour-plot-heat-map/,../2009-05-12-colored-contour-plot-heat-map/
2009-05-12-linear-regression-plot-with-normal-curves-for-error-sideways.org,2009,05,12,linear-regression-plot-with-normal-curves-for-error-sideways,http://blog.nguyenvq.com/blog/2009/05/12/linear-regression-plot-with-normal-curves-for-error-sideways,https://www.nguyenvq.com/blog/posts/2009-05-12-linear-regression-plot-with-normal-curves-for-error-sideways/,../2009-05-12-linear-regression-plot-with-normal-curves-for-error-sideways/
2009-05-12-r-news-unix-tools-with-r-make-screen-mail.org,2009,05,12,r-news-unix-tools-with-r-make-screen-mail,http://blog.nguyenvq.com/blog/2009/05/12/r-news-unix-tools-with-r-make-screen-mail,https://www.nguyenvq.com/blog/posts/2009-05-12-r-news-unix-tools-with-r-make-screen-mail/,../2009-05-12-r-news-unix-tools-with-r-make-screen-mail/
2009-05-13-cooliris-is-freaking-awesome.org,2009,05,13,cooliris-is-freaking-awesome,http://blog.nguyenvq.com/blog/2009/05/13/cooliris-is-freaking-awesome,https://www.nguyenvq.com/blog/posts/2009-05-13-cooliris-is-freaking-awesome/,../2009-05-13-cooliris-is-freaking-awesome/
2009-05-13-creating-svg-scalable-vector-graphics-and-inserting-latex.org,2009,05,13,creating-svg-scalable-vector-graphics-and-inserting-latex,http://blog.nguyenvq.com/blog/2009/05/13/creating-svg-scalable-vector-graphics-and-inserting-latex,https://www.nguyenvq.com/blog/posts/2009-05-13-creating-svg-scalable-vector-graphics-and-inserting-latex/,../2009-05-13-creating-svg-scalable-vector-graphics-and-inserting-latex/
2009-05-13-drawing-in-latex-picture-environment-arrows-xy-package.org,2009,05,13,drawing-in-latex-picture-environment-arrows-xy-package,http://blog.nguyenvq.com/blog/2009/05/13/drawing-in-latex-picture-environment-arrows-xy-package,https://www.nguyenvq.com/blog/posts/2009-05-13-drawing-in-latex-picture-environment-arrows-xy-package/,../2009-05-13-drawing-in-latex-picture-environment-arrows-xy-package/
2009-05-13-learning-latex.org,2009,05,13,learning-latex,http://blog.nguyenvq.com/blog/2009/05/13/learning-latex,https://www.nguyenvq.com/blog/posts/2009-05-13-learning-latex/,../2009-05-13-learning-latex/
2009-05-13-no-attachments-on-blogger-yet.org,2009,05,13,no-attachments-on-blogger-yet,http://blog.nguyenvq.com/blog/2009/05/13/no-attachments-on-blogger-yet,https://www.nguyenvq.com/blog/posts/2009-05-13-no-attachments-on-blogger-yet/,../2009-05-13-no-attachments-on-blogger-yet/
2009-05-14-auctex-with-sweave.org,2009,05,14,auctex-with-sweave,http://blog.nguyenvq.com/blog/2009/05/14/auctex-with-sweave,https://www.nguyenvq.com/blog/posts/2009-05-14-auctex-with-sweave/,../2009-05-14-auctex-with-sweave/
2009-05-14-editingadding-on-to-sweave-features-in-ess.org,2009,05,14,editingadding-on-to-sweave-features-in-ess,http://blog.nguyenvq.com/blog/2009/05/14/editingadding-on-to-sweave-features-in-ess,https://www.nguyenvq.com/blog/posts/2009-05-14-editingadding-on-to-sweave-features-in-ess/,../2009-05-14-editingadding-on-to-sweave-features-in-ess/
2009-05-14-latex-on-top-of-graphics.org,2009,05,14,latex-on-top-of-graphics,http://blog.nguyenvq.com/blog/2009/05/14/latex-on-top-of-graphics,https://www.nguyenvq.com/blog/posts/2009-05-14-latex-on-top-of-graphics/,../2009-05-14-latex-on-top-of-graphics/
2009-05-14-learn-lisp-for-emacs-and-understand-how-all-it-all-works-inferior-mode-etc.org,2009,05,14,learn-lisp-for-emacs-and-understand-how-all-it-all-works-inferior-mode-etc,http://blog.nguyenvq.com/blog/2009/05/14/learn-lisp-for-emacs-and-understand-how-all-it-all-works-inferior-mode-etc,https://www.nguyenvq.com/blog/posts/2009-05-14-learn-lisp-for-emacs-and-understand-how-all-it-all-works-inferior-mode-etc/,../2009-05-14-learn-lisp-for-emacs-and-understand-how-all-it-all-works-inferior-mode-etc/
2009-05-14-rubber-latexing-multiple-times-to-get-the-final-product.org,2009,05,14,rubber-latexing-multiple-times-to-get-the-final-product,http://blog.nguyenvq.com/blog/2009/05/14/rubber-latexing-multiple-times-to-get-the-final-product,https://www.nguyenvq.com/blog/posts/2009-05-14-rubber-latexing-multiple-times-to-get-the-final-product/,../2009-05-14-rubber-latexing-multiple-times-to-get-the-final-product/
2009-05-14-sweave-sh.org,2009,05,14,sweave-sh,http://blog.nguyenvq.com/blog/2009/05/14/sweave-sh,https://www.nguyenvq.com/blog/posts/2009-05-14-sweave-sh/,../2009-05-14-sweave-sh/
2009-05-14-tables-frequencies-in-r.org,2009,05,14,tables-frequencies-in-r,http://blog.nguyenvq.com/blog/2009/05/14/tables-frequencies-in-r,https://www.nguyenvq.com/blog/posts/2009-05-14-tables-frequencies-in-r/,../2009-05-14-tables-frequencies-in-r/
2009-05-15-create-multiple-graphics-in-r-without-multiple-calls-to-pdf-postscript-jpeg-png.org,2009,05,15,create-multiple-graphics-in-r-without-multiple-calls-to-pdf-postscript-jpeg-png,http://blog.nguyenvq.com/blog/2009/05/15/create-multiple-graphics-in-r-without-multiple-calls-to-pdf-postscript-jpeg-png,https://www.nguyenvq.com/blog/posts/2009-05-15-create-multiple-graphics-in-r-without-multiple-calls-to-pdf-postscript-jpeg-png/,../2009-05-15-create-multiple-graphics-in-r-without-multiple-calls-to-pdf-postscript-jpeg-png/
2009-05-17-collaborations-via-google-docs-compilation-of-data-with-google-docs-forms.org,2009,05,17,collaborations-via-google-docs-compilation-of-data-with-google-docs-forms,http://blog.nguyenvq.com/blog/2009/05/17/collaborations-via-google-docs-compilation-of-data-with-google-docs-forms,https://www.nguyenvq.com/blog/posts/2009-05-17-collaborations-via-google-docs-compilation-of-data-with-google-docs-forms/,../2009-05-17-collaborations-via-google-docs-compilation-of-data-with-google-docs-forms/
2009-05-18-scribd-embed-documents-in-your-blogwebsite.org,2009,05,18,scribd-embed-documents-in-your-blogwebsite,http://blog.nguyenvq.com/blog/2009/05/18/scribd-embed-documents-in-your-blogwebsite,https://www.nguyenvq.com/blog/posts/2009-05-18-scribd-embed-documents-in-your-blogwebsite/,../2009-05-18-scribd-embed-documents-in-your-blogwebsite/
2009-05-19-latex-in-blogger.org,2009,05,19,latex-in-blogger,http://blog.nguyenvq.com/blog/2009/05/19/latex-in-blogger,https://www.nguyenvq.com/blog/posts/2009-05-19-latex-in-blogger/,../2009-05-19-latex-in-blogger/
2009-05-19-sage-again-everything-math.org,2009,05,19,sage-again-everything-math,http://blog.nguyenvq.com/blog/2009/05/19/sage-again-everything-math,https://www.nguyenvq.com/blog/posts/2009-05-19-sage-again-everything-math/,../2009-05-19-sage-again-everything-math/
2009-05-20-getting-information-and-learning-google-wikipedia-wikibooks-wolfram-alpha.org,2009,05,20,getting-information-and-learning-google-wikipedia-wikibooks-wolfram-alpha,http://blog.nguyenvq.com/blog/2009/05/20/getting-information-and-learning-google-wikipedia-wikibooks-wolfram-alpha,https://www.nguyenvq.com/blog/posts/2009-05-20-getting-information-and-learning-google-wikipedia-wikibooks-wolfram-alpha/,../2009-05-20-getting-information-and-learning-google-wikipedia-wikibooks-wolfram-alpha/
2009-05-20-google-gadgets.org,2009,05,20,google-gadgets,http://blog.nguyenvq.com/blog/2009/05/20/google-gadgets,https://www.nguyenvq.com/blog/posts/2009-05-20-google-gadgets/,../2009-05-20-google-gadgets/
2009-05-20-plots-chemical-structure-diagrams.org,2009,05,20,plots-chemical-structure-diagrams,http://blog.nguyenvq.com/blog/2009/05/20/plots-chemical-structure-diagrams,https://www.nguyenvq.com/blog/posts/2009-05-20-plots-chemical-structure-diagrams/,../2009-05-20-plots-chemical-structure-diagrams/
2009-05-21-open-source-graphics-gimp-inkscape-graphviz.org,2009,05,21,open-source-graphics-gimp-inkscape-graphviz,http://blog.nguyenvq.com/blog/2009/05/21/open-source-graphics-gimp-inkscape-graphviz,https://www.nguyenvq.com/blog/posts/2009-05-21-open-source-graphics-gimp-inkscape-graphviz/,../2009-05-21-open-source-graphics-gimp-inkscape-graphviz/
2009-05-29-the-next-big-thing-from-google-wave.org,2009,05,29,the-next-big-thing-from-google-wave,http://blog.nguyenvq.com/blog/2009/05/29/the-next-big-thing-from-google-wave,https://www.nguyenvq.com/blog/posts/2009-05-29-the-next-big-thing-from-google-wave/,../2009-05-29-the-next-big-thing-from-google-wave/
